2020-07-26,Производственно-диагностическая лаборатория,"Акционерное общество ""Газпром газораспределение Белгород""","308503 Белгородская обл., Белгородский р-он, п. Майский, ул. Зеленая, 7",(4722) 381331,"",Латыш Максим Владимирович Начальник лаборатории,http://www.oaontc.ru/services/registers/lnk/1086462
2018-03-26,Лаборатория неразрушающего контроля,"Акционерное общество ""Газпром газораспределение Дальний Восток""","680011 680011, г. Хабаровск, ул. Брестская, д. 51",(4212)417-417,info@kgas.kht.ru,Петрица Маргарита Валерьевна Начальник лаборатории,http://www.oaontc.ru/services/registers/lnk/1086463
2019-09-09,Лаборатория физико-механических испытаний,"Акционерное общество ""Газпром газораспределение Ижевск""","426006 г. Ижевск, ул. Новоажимова, д. 23а",(3412) 714663,"",Трефилов Олег Владиславович Начальник лаборатории,http://www.oaontc.ru/services/registers/lnk/1086464
2020-01-17,Лаборатория неразрушающего контроля и диагностики,"Акционерное общество ""Газпром газораспределение Калуга""","248010 г. Калуга, пос. Железняки, ул. Газовая, д. 45",(4842) 212493,"",Филиппов Михаил Михайлович Начальник отдела защиты от коррозии - руководитель  ЛНКиД,http://www.oaontc.ru/services/registers/lnk/1086465
2019-08-04,Лаборатория неразрушающего контроля Отдела главного сварщика,"Акционерное общество ""Газпром газораспределение Кострома""","156013 г. Кострома, проспект Мира, д. 155",(4942) 491194,"",Дианов Василий Юрьевич Начальник лаборатории,http://www.oaontc.ru/services/registers/lnk/1086466
2019-06-08,Лаборатория неразрушающего контроля,"Акционерное общество ""Газпром газораспределение Ленинградская область""","188507 Ленинградская область, Ломоносовский район, поселок Новоселье, Здание административного корпуса. Нежилое. Литер",(813) 7658194,pmz1@bk.ru,Зызов Алексей Иванович Начальник лаборатории,http://www.oaontc.ru/services/registers/lnk/1086467
2019-12-02,Лаборатория контроля сварки и изоляции,"Акционерное общество ""Газпром газораспределение Липецк""","398902 г. Липецк, ул. Ударников, д. 36а",(4742) 506710,"",Антонов Альберт Вячеславович Главный сварщик - Начальник ЛНК,http://www.oaontc.ru/services/registers/lnk/1086468
2019-11-10,"Лаборатория неразрушающего контроля АО ""Газпром газораспределение Майкоп""","Акционерное Общество ""Газпром газораспределение Майкоп""","385000 г. Майкоп, пер. Авиационный, д. 13",(8772) 570617,"",Кубиц Станислав Альбертович Начальник лаборатории,http://www.oaontc.ru/services/registers/lnk/1086469
2019-12-11,Лаборатория неразрушающего контроля,"Акционерное общество ""Газпром газораспределение Орел""","302028 г. Орел, ул. 7-е Ноября, д. 19-а",(4862) 433480,"",Барабанов Юрий Александрович Начальник ЛНК,http://www.oaontc.ru/services/registers/lnk/1086470
2019-03-28,Лаборатория неразрушающего контроля,"Акционерное общество ""Газпром газораспределение Рязанская область""","390046 г. Рязань, Голенчинское шоссе, д. 21",(4912) 937690,"",Штырманов Геннадий Иванович Начальник лаборатории,http://www.oaontc.ru/services/registers/lnk/1086471
2019-07-01,Лаборатория неразрушающего контроля отдела метрологии,"Акционерное общество ""Газпром газораспределение Саратовская область""","410007 г. Саратов, ул. Антонова, д. 14 ""Д""",(8452) 493389,metrolog@oblgas.san.ru,Долгов Валерий Владимирович Главный метролог ЛНК,http://www.oaontc.ru/services/registers/lnk/1086472
2020-04-21,Производственная лаборатория,"Акционерное общество ""Газпром газораспределение Ставрополь""","357500 Ставропольский край, г. Пятигорск, проезд Суворовский, 2-А",(8793) 399776,pl-skg@mail.ru,Бабаев Самвел Михайлович Начальник лаборатории,http://www.oaontc.ru/services/registers/lnk/1086473
2020-05-31,Группа рентгеновского контроля,"Акционерное общество ""Газпром газораспределение Тамбов""","392000 г. Тамбов, ул. Московская, д. 19  ""Д""",(4752) 790910,"",Горлов Сергей Александрович Начальник группы,http://www.oaontc.ru/services/registers/lnk/1086474
2019-04-04,Лаборатория метрологии,"Акционерное общество ""Газпром газораспределение Чебоксары""","428003 Чувашская Республика, г. Чебоксары, Гаражный проезд, 11",(8352) 289348,"",Самохвалов Владимир Георгиевич Начальник лаборатории,http://www.oaontc.ru/services/registers/lnk/1086475
2020-01-13,Лаборатория неразрушающего контроля,"Акционерное Общество ""Газпром газораспределение Челябинск""","456219 Челябинская обл., г. Златоуст, проспект им. Ю.А. Гагарина, 8-я линия, д.17А",(3513) 652711,zlat@gazcom74.ru,Копнов Сергей Михайлович Главный сварщик- начальник лаборатории,http://www.oaontc.ru/services/registers/lnk/1086476
2019-07-25,Лаборатория неразрушающего контроля,"Акционерное общество ""Газпром газораспределение Черкесск""","369000 г. Черкесск, ул. Шоссейная, д. 129",(8782) 281365,"",Вилисов Илья Николаевич Начальник отдела защиты от коррозии,http://www.oaontc.ru/services/registers/lnk/1086477
2019-06-24,Лаборатория неразрушающих методов контроля,"Акционерное общество ""Газпромнефть-Московский НПЗ""","109429 г. Москва, Капотня 2 квартал, д. 1, корп. 3",(495) 7349200,"",Никишов Александр Александрович Начальник лаборатории,http://www.oaontc.ru/services/registers/lnk/1086478
2019-12-06,Полевая испытательная лаборатория,"Акционерное общество ""Газстрой""","142000 Московская обл., г. Домодедово, ул. Станционная, д. 16",(49679)30241,Gazstroy01@mail.ru, Савинов Сергей Николаевич Начальник ПИЛ,http://www.oaontc.ru/services/registers/lnk/1086479
2017-12-25,Лаборатория дефектоскопии службы главного сварщика,"Акционерное общество ""Газстройдеталь""","300026 Россия, г. Тула, пос. Менделеевский, ул. Скуратовская, 108",(4872) 352545,"",Самохвал Александр Васильевич Начальник лаборатории,http://www.oaontc.ru/services/registers/lnk/1086480
2018-09-25,Производственная испытательная лаборатория,"Акционерное общество ""Газстройпроект""","196158 196158, Санкт-Петербург, Пулковское шоссе, д. 28, литера А.",812 4932657,"",Илюшкин Геннадий Германович начальник лаборатории,http://www.oaontc.ru/services/registers/lnk/1086481
